title,MAL_id,type,studio,release-season,release-year,release-date,source-material,episodes,score,members,genres
Dekobou Shingachou: Meian no Shippai,23189,Movie,Unknown,winter,1917.0,,Original,1.0,5.38,1200.0,['Comedy']
Imokawa Mukuzo: Genkanban no Maki,17387,Movie,Unknown,winter,1917.0,,Original,1.0,5.38,876.0,['Comedy']
Namakura Gatana,6654,Movie,Unknown,spring,1917.0,,Original,1.0,5.53,7800.0,['Comedy']
Saru to Kani no Gassen,10742,Movie,Unknown,spring,1917.0,,Other,1.0,5.01,878.0,['Drama']
Imokawa Mukuzo: Chuugaeri no Maki,24577,Movie,Unknown,spring,1917.0,,Original,1.0,0.0,456.0,['Comedy']
Yume no Jidousha,24575,Movie,Unknown,spring,1917.0,,Original,1.0,0.0,453.0,[]
Chamebou Shin Gachou: Nomi Fuufu Shikaeshi no Maki,23187,Movie,Unknown,spring,1917.0,,Original,1.0,0.0,394.0,['Comedy']
Hanasaka Jijii,18457,Movie,Unknown,summer,1917.0,,Other,1.0,4.94,1000.0,"['Comedy', 'Drama']"
Neko to Nezumi,24573,Movie,Unknown,summer,1917.0,,Original,1.0,0.0,408.0,['Comedy']
Itazura Post,23183,Movie,Unknown,summer,1917.0,,Original,1.0,0.0,392.0,['Comedy']
Chamebou Kuukijuu no Maki,23185,Movie,Unknown,summer,1917.0,,Original,1.0,0.0,375.0,['Comedy']
Kachikachi Yama,10757,Movie,Unknown,fall,1917.0,,Other,1.0,5.49,669.0,['Drama']
Shita-kiri Suzume,10756,Movie,Unknown,fall,1917.0,,Original,1.0,0.0,432.0,['Drama']
Chokin no Susume,23191,Movie,Unknown,fall,1917.0,,Original,1.0,0.0,404.0,['Comedy']
Otogi Banashi: Bunbuku Chagama,23181,Movie,Unknown,fall,1917.0,,Other,1.0,0.0,322.0,[]
Urashima Tarou (supposed title),7485,Movie,Unknown,winter,1918.0,,Other,1.0,4.72,2400.0,[]
Momotarou,10758,Movie,Unknown,winter,1918.0,,Original,1.0,5.75,569.0,['Drama']
Issunboushi,10760,Movie,Unknown,winter,1918.0,,Original,1.0,5.72,510.0,['Drama']
Kobutori,22511,Movie,Unknown,winter,1918.0,,Other,1.0,5.78,509.0,['Comedy']
Kintarou,10759,Movie,Unknown,winter,1918.0,,Original,1.0,0.0,412.0,['Drama']
Yukidaruma,30957,Movie,Unknown,winter,1918.0,,Original,1.0,0.0,387.0,['Fantasy']
Kaeru no Yume,49243,Movie,Unknown,winter,1918.0,,,1.0,0.0,43.0,[]
Ari to Hato,21761,Movie,Unknown,summer,1918.0,,Other,1.0,0.0,328.0,[]
Baguda-jou no Touzoku,28041,Movie,Unknown,fall,1926.0,,Original,1.0,5.07,1300.0,"['Adventure', 'Romance']"
Mikan-bune,7497,Movie,Unknown,winter,1927.0,,Other,1.0,4.74,1100.0,[]
Saru Kani Gassen (1927),35391,Movie,Unknown,spring,1927.0,,Other,1.0,5.42,839.0,['Drama']
Da Nao Hua Shi,43329,Movie,Unknown,spring,1927.0,,Original,1.0,0.0,83.0,['Comedy']
Tako no Hone,35492,Movie,Unknown,fall,1927.0,,Other,1.0,4.95,705.0,['Fantasy']
Chinsetsu Yoshida Goten,39083,Movie,Unknown,spring,1928.0,,Novel,1.0,0.0,228.0,[]
Doubutsu Olympic Taikai,7498,Movie,Unknown,summer,1928.0,,Original,1.0,5.48,1000.0,"['Comedy', 'Sports']"
Hanasaka Jiisan,30086,Movie,Unknown,summer,1928.0,,Other,1.0,4.87,987.0,"['Comedy', 'Drama']"
Bunbuku Chagama,24881,Movie,Unknown,summer,1928.0,,Other,1.0,0.0,396.0,[]
Kogane no Hana,28045,Movie,Unknown,winter,1929.0,,Original,1.0,4.8,908.0,"['Action', 'Adventure', 'Fantasy']"
Kaeru wa Kaeru,35491,Movie,Unknown,winter,1929.0,,Original,1.0,0.0,290.0,[]
Tarou-san no Kisha,5873,Movie,Unknown,spring,1929.0,,Original,1.0,5.44,1600.0,['Action']
Kobutori (1929),5875,Movie,Unknown,fall,1929.0,,Other,1.0,5.89,3000.0,['Comedy']
Oira no Yakyuu,5826,Movie,Unknown,winter,1930.0,,Original,1.0,5.39,1800.0,['Sports']
Kaumori,5631,Movie,Unknown,winter,1930.0,,Original,1.0,5.45,1400.0,['Drama']
Oira no Ski,23759,Movie,Unknown,winter,1930.0,,Original,1.0,5.14,881.0,"['Comedy', 'Sports']"
Entotsuya Peroo,15137,Movie,Unknown,spring,1930.0,,Original,1.0,5.46,497.0,[]
Osekisho,35390,Movie,Unknown,spring,1930.0,,Original,1.0,4.6,458.0,[]
Mura Matsuri,6769,Movie,Unknown,fall,1930.0,,Original,1.0,4.98,2100.0,[]
Kuro Nyago,4398,Movie,Unknown,winter,1931.0,,Original,1.0,5.38,3200.0,['Fantasy']
Saru Masamune,4391,Movie,Unknown,winter,1931.0,,Original,1.0,5.45,1600.0,['Adventure']
Nonsense Monogatari Dai Ippen: Sarugashima,28695,Movie,Unknown,winter,1931.0,,Original,1.0,5.19,889.0,['Adventure']
Kokka Kimigayo,4393,Movie,Unknown,spring,1931.0,,Original,1.0,4.85,1800.0,[]
Tanukichi no Ohanashi,35490,Movie,Unknown,spring,1931.0,,Original,1.0,0.0,276.0,['Fantasy']
